Plot Number,Plant Number,Genotype,Stem Diameter,Tap Root dimeter,Overall,Nodule Size,Nodule Density,Number Adv/Up Roots,Lateral Root Denisty Adv/Up,Angle 1 Adv/Up,Angle 2 Adv/Up,Angle 3 Adv/Up,Angle 4 Adv/Up,Angle 5 Adv/Up,Number Lower Roots,Lateral Root Denisty Lower,Angle 1 Lower,Angle 2 Lower,Angle 3 Lower,Angle 4 Lower,Angle 5 Lower
3009,2,2,6,4,2,2,1,0,na,na,na,na,na,na,9,10,20,20,10,0,30
3009,3,2,10,5,2,3,2,0,na,na,na,na,na,na,12,16,30,30,40,30,40
3009,4,2,7,3,1,2,1,0,na,na,na,na,na,na,6,8,50,40,70,30,40
3009,5,2,16,10,2,3,2,2,6,0,0,na,na,na,11,4,10,20,5,0,40
3010,1,4,9,5,2,2,2,0,na,na,na,na,na,na,13,12,0,20,10,30,30
3010,2,4,10,5,3,2,2,0,na,na,na,na,na,na,18,12,0,5,20,30,35
3010,3,4,9,8,2,2,2,0,na,na,na,na,na,na,12,14,20,20,5,40,40
3010,4,4,9,8,1,2,2,0,na,na,na,na,na,na,8,16,30,20,20,20,20
3010,5,4,10,7,2,2,2,0,na,na,na,na,na,na,22,14,0,15,10,20,20
3011,1,22,8,7,3,2,3,0,na,na,na,na,na,na,18,14,20,20,25,15,10
3011,2,22,7,4,3,3,3,1,12,0,na,na,na,na,14,16,10,20,30,35,40
3011,3,22,5,4,3,2,2,0,na,na,na,na,na,na,15,16,10,40,30,40,45
3011,4,22,12,8,3,3,2,0,na,na,na,na,na,na,23,12,10,20,30,20,20
3011,5,22,7,5,3,2,1,0,na,na,na,na,na,na,13,12,20,30,25,0,20
3012,1,24,6,5,1,2,1,0,na,na,na,na,na,na,5,10,30,20,30,15,20
3012,2,24,5,4,1,2,1,0,na,na,na,na,na,na,8,9,0,20,40,40,45
3012,3,24,6,4,1,2,2,1,12,30,na,na,na,na,9,8,50,30,10,40,40
3012,4,24,5,3,1,2,1,0,na,na,na,na,na,na,8,10,40,30,30,25,30
3012,5,24,8,8,1,3,2,1,16,10,na,na,na,na,7,12,5,20,20,40,40
3013,1,21,9,4,3,3,4,0,na,na,na,na,na,na,13,12,10,30,10,20,30
3013,2,21,9,4,3,3,4,0,na,na,na,na,na,na,13,12,0,5,15,20,20
3013,3,21,11,8,1,2,1,2,6,0,5,na,na,na,11,12,30,20,20,10,20
3013,4,21,11,5,3,4,3,1,18,0,na,na,na,na,17,14,10,20,10,30,55
3013,5,21,8,5,1,2,1,0,na,na,na,na,na,na,11,12,30,5,20,40,60
3014,1,3,8,6,3,3,3,0,na,na,na,na,na,na,30,18,0,5,20,10,10
3014,2,3,6,4,2,2,2,0,na,na,na,na,na,na,28,14,5,10,5,5,20
3014,3,3,7,5,2,2,3,3,4,5,5,10,na,na,17,9,20,10,30,30,10
3014,4,3,7,4,3,3,4,0,na,na,na,na,na,na,20,17,0,10,15,15,10
3014,5,3,6,4,2,1,1,6,4,0,0,5,5,0,6,7,20,20,15,0,10
3015,1,15,7,5,2,3,2,0,na,na,na,na,na,na,16,17,10,5,0,30,25
3015,2,15,10,6,3,4,3,1,24,5,na,na,na,na,18,20,0,0,0,20,0
3015,3,15,11,4,2,3,2,1,18,10,na,na,na,na,11,14,50,40,60,50,0
3015,4,15,9,5,2,3,2,4,20,5,10,10,0,na,6,16,30,20,30,10,30
3015,5,15,11,8,2,3,1,6,21,0,0,5,0,0,10,16,10,10,0,15,10
3016,1,20,8,6,2,2,2,1,14,0,na,na,na,na,22,20,30,10,20,20,0
3016,2,20,11,7,3,3,3,0,na,na,na,na,na,na,17,12,0,0,0,20,30
3016,3,20,6,5,1,2,2,0,na,na,na,na,na,na,14,17,0,0,30,0,20
3016,4,20,8,5,1,2,3,0,na,na,na,na,na,na,13,20,0,30,20,0,30
3016,5,20,8,5,3,3,3,3,20,0,0,0,na,na,13,22,0,20,0,20,30
3017,1,11,6,3,3,3,2,0,na,na,na,na,na,na,19,18,10,0,0,10,0
3017,2,11,11,5,3,3,2,3,16,0,10,40,na,na,17,14,10,10,20,15,0
3017,3,11,8,6,1,3,1,0,na,na,na,na,na,na,22,18,20,0,0,5,30
3017,4,11,8,5,1,1,1,0,na,na,na,na,na,na,19,14,0,5,10,10,10
3017,5,11,8,5,2,3,1,0,na,na,na,na,na,na,21,22,0,0,5,10,20
3018,1,19,9,7,1,2,2,0,na,na,na,na,na,na,25,19,0,5,0,10,20
3018,2,19,7,5,3,3,3,0,na,na,na,na,na,na,22,17,0,0,0,40,25
3018,3,19,10,5,2,3,3,0,na,na,na,na,na,na,25,15,0,15,20,40,0
3018,4,19,7,4,2,3,3,0,na,na,na,na,na,na,25,22,40,0,0,30,20
3018,5,19,6,4,2,3,3,0,na,na,na,na,na,na,25,21,30,0,10,10,20
3019,1,9,14,7,4,3,4,2,7,10,0,na,na,na,18,5,0,0,10,10,30
3019,2,9,7,5,4,3,4,1,9,5,na,na,na,na,19,11,10,10,15,35,30
3019,3,9,9,5,4,4,4,0,na,na,na,na,na,na,32,12,10,10,20,30,30
3019,4,9,9,7,4,4,4,0,na,na,na,na,na,na,28,14,0,0,0,10,10
3019,5,9,8,5,4,3,3,1,8,0,na,na,na,na,22,9,0,0,5,5,5
3020,1,10,11,6,4,3,2,2,7,10,10,na,na,na,17,9,40,40,50,50,55
3020,2,10,7,6,3,2,2,1,9,0,na,na,na,na,18,10,15,15,10,10,5
3020,3,10,7,5,3,2,2,1,11,0,na,na,na,na,25,7,10,25,20,20,30
3020,4,10,12,5,4,2,2,1,11,5,na,na,na,na,24,8,40,40,35,35,20
3020,5,10,6,4,4,2,2,1,8,0,na,na,na,na,20,10,10,10,20,30,25
3021,1,16,12,6,4,4,1,1,3,0,na,na,na,na,28,7,40,40,50,50,20
3021,2,16,6,3,3,3,3,0,na,na,na,na,na,na,19,8,5,5,5,10,10
3021,3,16,11,3,4,3,4,0,na,na,na,na,na,na,25,9,0,0,0,5,5
3021,4,16,7,4,4,3,4,0,na,na,na,na,na,na,56,9,0,0,5,5,5
3021,5,16,7,3,4,3,4,1,11,0,na,na,na,na,23,5,5,10,10,15,15
3022,1,7,7,6,1,2,2,1,4,0,na,na,na,na,16,20,15,20,40,45,20
3022,2,7,14,8,3,3,4,0,na,na,na,na,na,na,25,7,30,35,40,45,30
3022,3,7,6,3,2,1,1,0,na,na,na,na,na,na,28,6,10,10,5,5,20
3022,4,7,12,6,3,2,3,1,6,5,na,na,na,na,18,6,40,40,35,35,30
3022,5,7,10,4,3,2,2,1,11,0,na,na,na,na,29,9,25,20,20,35,30
3023,1,13,12,7,1,2,3,2,7,0,na,na,na,na,13,11,25,20,25,35,30
3023,2,13,7,4,1,2,1,1,5,0,na,na,na,na,12,8,5,20,25,30,25
3023,3,13,6,4,1,2,2,2,8,0,0,na,na,na,12,15,10,10,5,5,25
3023,4,13,6,4,1,3,2,0,na,na,na,na,na,na,16,8,5,5,10,10,25
3023,5,13,7,4,2,2,1,1,8,10,na,na,na,na,15,8,10,30,10,25,25
3024,1,14,12,6,3,2,3,1,8,0,na,na,na,na,18,11,55,40,20,25,20
3024,2,14,9,6,2,2,2,0,na,na,na,na,na,na,15,7,30,25,25,20,40
3024,3,14,7,6,1,1,1,1,6,0,na,na,na,na,18,6,20,30,30,20,25
3024,4,14,11,4,1,2,1,1,8,0,na,na,na,na,13,8,20,20,10,10,10
3024,5,14,6,3,1,1,1,0,na,na,na,na,na,na,8,7,20,20,35,30,30
4001,1,17,11,10,1,3,1,3,8,40,10,20,na,na,19,7,30,25,20,20,10
4001,2,17,8,7,2,3,1,5,8,0,0,5,5,10,19,6,10,15,25,20,10
4001,3,17,10,9,3,3,2,5,9,0,0,5,5,5,26,7,40,15,20,30,30
4001,4,17,7,6,1,3,1,5,6,0,0,5,5,20,14,8,30,20,20,5,0
4001,5,17,13,11,2,3,1,3,10,5,10,0,na,na,19,9,0,5,0,0,5
4002,1,24,9,8,1,2,1,2,4,0,0,na,na,na,14,5,0,0,20,25,20
4002,2,24,10,9,1,3,1,2,5,0,10,na,na,na,11,8,10,20,25,20,15
4002,3,24,8,7,1,4,2,2,6,10,0,na,na,na,14,6,25,30,40,35,40
4002,4,24,9,9,1,na,0,0,0,na,na,na,na,na,13,6,5,5,10,20,5
4002,5,24,5,3,1,na,0,0,0,na,na,na,na,na,11,6,0,10,10,10,5
4003,1,3,13,5,2,3,3,0,na,na,na,na,na,na,34,12,0,10,0,20,20
4003,2,3,12,8,2,3,3,12,12,0,0,10,5,0,21,14,0,10,15,0,20
4003,3,3,9,7,2,3,2,17,10,0,30,0,70,0,24,17,30,0,10,10,0
4003,4,3,10,5,1,0,1,0,na,na,na,na,na,na,26,5,10,40,20,10,5
4003,5,3,10,5,1,3,1,4,1,30,40,0,40,na,14,2,15,40,40,20,40
4004,1,8,11,10,1,2,1,9,10,5,10,5,10,20,15,8,10,25,10,5,30
4004,2,8,8,7,1,2,1,8,5,0,0,0,5,5,20,8,5,10,20,5,30
4004,3,8,9,6,2,3,3,7,9,0,0,5,5,10,21,7,0,25,15,20,15
4004,4,8,10,9,1,2,1,4,9,5,5,15,15,na,21,7,5,5,30,30,20
4004,5,8,10,9,1,2,1,5,9,25,20,30,40,10,15,6,15,0,0,5,5
4005,1,19,8,5,2,3,2,2,6,5,5,na,na,na,28,11,0,10,10,20,25
4005,2,19,9,8,2,3,1,4,10,0,0,10,10,na,22,7,0,0,5,10,20
4005,3,19,9,9,2,3,1,2,7,5,0,na,na,na,28,10,5,10,10,15,15
4005,4,19,8,8,1,2,1,4,8,5,5,0,10,na,22,7,5,5,20,30,10
4005,5,19,9,8,2,3,1,3,6,0,0,5,na,na,24,10,0,0,15,20,15
4006,1,6,5,4,3,4,4,0,na,na,na,na,na,na,11,10,0,5,25,30,20
4006,2,6,10,7,3,4,4,0,na,na,na,na,na,na,12,16,10,10,15,35,10
4006,3,6,13,13,2,4,3,0,na,na,na,na,na,na,14,8,10,10,15,0,5
4006,4,6,8,6,3,4,4,0,na,na,na,na,na,na,24,14,0,0,20,20,30
4006,5,6,7,11,1,2,1,0,na,na,na,na,na,na,7,8,0,10,20,25,15
4007,1,23,5,3,1,4,3,0,na,na,na,na,na,na,12,14,10,5,5,20,40
4007,2,23,9,6,2,3,2,0,na,na,na,na,na,na,15,16,20,30,20,30,15
4007,3,23,10,7,3,2,1,2,6,0,10,na,na,na,33,10,20,15,5,20,30
4007,4,23,6,4,2,3,1,1,4,10,na,na,na,na,15,10,20,20,30,30,30
4007,5,23,8,3,3,2,2,0,na,na,na,na,na,na,22,8,10,20,20,40,50
4008,1,5,11,7,1,3,2,0,na,na,na,na,na,na,24,9,0,0,20,25,30
4008,2,5,7,5,1,3,2,4,6,0,0,0,5,na,32,8,10,20,25,60,15
4008,3,5,6,7,1,2,2,3,3,35,35,40,na,na,26,8,30,25,30,30,40
4008,4,5,7,9,2,3,3,0,na,na,na,na,na,na,28,11,0,0,5,5,5
4008,5,5,6,4,1,4,2,0,na,na,na,na,na,na,16,11,0,0,5,20,25
4009,1,22,8,4,1,1,1,2,7,0,0,5,na,na,25,7,5,5,10,10,5
4009,2,22,6,3,2,3,1,0,na,na,na,na,na,na,26,13,20,10,40,5,0
4009,3,22,6,4,2,2,2,0,na,na,na,na,na,na,24,9,0,5,10,30,25
4009,4,22,6,3,2,2,1,1,10,0,na,na,na,na,17,10,5,5,5,10,10
4009,5,22,4,4,2,3,2,0,na,na,na,na,na,na,27,6,30,30,25,5,10
4010,1,16,7,4,2,3,3,0,na,na,na,na,na,na,26,13,0,0,30,20,0
4010,2,16,8,5,4,3,3,0,na,na,na,na,na,na,30,14,10,0,40,20,0
4010,3,16,8,5,3,4,3,0,na,na,na,na,na,na,36,13,10,0,20,5,20
4010,4,16,9,5,3,3,3,0,na,na,na,na,na,na,29,20,5,10,0,5,10
4010,5,16,11,6,2,3,2,0,na,na,na,na,na,na,23,8,10,0,0,10,30
4011,1,11,9,9,3,3,3,8,5,0,0,0,5,5,14,7,0,15,40,5,0
4011,2,11,10,8,3,3,3,7,10,15,10,0,5,5,12,8,5,0,0,0,0
4011,3,11,10,8,3,3,2,5,7,0,0,5,10,10,15,6,0,0,0,5,20
4011,4,11,10,9,2,2,2,4,8,0,0,0,25,na,13,6,0,40,10,20,20
4011,5,11,10,9,3,2,3,7,11,0,20,25,20,0,15,8,0,5,0,20,10
4012,1,12,10,6,2,2,2,0,na,na,na,na,na,na,28,13,0,10,10,20,20
4012,2,12,10,6,1,3,2,0,na,na,na,na,na,na,14,16,0,5,30,0,0
4012,3,12,10,5,2,3,2,0,na,na,na,na,na,na,29,13,5,0,20,20,20
4012,4,12,6,4,2,3,2,0,na,na,na,na,na,na,15,10,0,10,20,40,30
4012,5,12,10,6,2,3,3,0,na,na,na,na,na,na,25,16,20,0,10,30,60
4013,1,1,11,10,3,4,3,1,3,5,na,na,na,na,26,7,0,5,25,10,10
4013,2,1,7,6,2,2,1,1,4,10,na,na,na,na,22,10,15,20,40,45,30
4013,3,1,13,11,2,3,2,5,6,0,0,5,5,5,17,7,0,0,0,5,10
4013,4,1,4,3,1,1,1,0,0,na,na,na,na,na,22,4,5,10,10,15,5
4013,5,1,5,5,1,2,1,1,5,5,na,na,na,na,17,10,20,25,40,35,30
4014,1,14,8,5,1,2,1,2,6,0,5,na,na,na,14,7,10,30,40,35,10
4014,2,14,6,4,1,na,0,1,3,0,na,na,na,na,10,7,10,30,50,45,20
4014,3,14,3,3,1,2,1,1,6,5,na,na,na,na,19,7,5,10,20,5,25
4014,4,14,10,8,1,2,1,1,8,0,na,na,na,na,11,10,15,15,20,5,10
4014,5,14,7,5,1,2,1,1,4,5,na,na,na,na,13,7,25,20,40,35,30
4015,1,21,8,6,2,2,2,0,na,na,na,na,na,na,31,8,15,15,20,20,10
4015,2,21,9,4,3,3,2,0,na,na,na,na,na,na,34,14,20,20,10,0,5
4015,3,21,14,9,3,3,3,0,na,na,na,na,na,na,32,15,5,5,10,10,15
4015,4,21,9,6,3,2,3,0,na,na,na,na,na,na,19,9,5,5,5,0,0
4015,5,21,13,10,1,3,2,1,7,5,na,na,na,na,14,7,10,10,5,5,10
4016,1,2,13,6,1,2,2,1,6,10,na,na,na,na,16,9,5,25,10,10,10
4016,2,2,11,8,1,2,2,0,na,na,na,na,na,na,10,7,0,0,10,10,10
4016,3,2,11,9,3,2,2,1,5,0,na,na,na,na,20,7,5,5,20,25,45
4016,4,2,17,7,3,2,2,4,8,30,20,30,30,na,16,8,70,80,60,70,60
4016,5,2,17,6,3,2,2,3,6,40,15,20,na,na,13,14,60,40,60,60,70
4017,1,7,14,15,3,2,2,1,5,0,na,na,na,na,15,8,40,45,50,55,60
4017,2,7,8,4,4,4,3,0,na,na,na,na,na,na,28,8,30,25,15,30,30
4017,3,7,6,7,4,3,4,0,na,na,na,na,na,na,23,17,0,5,5,5,15
4017,4,7,7,4,4,4,2,2,7,0,na,na,na,na,24,11,10,10,5,5,15
4017,5,7,6,4,4,2,2,0,na,na,na,na,na,na,32,12,0,0,5,5,0
4018,1,20,6,7,3,2,3,0,na,na,na,na,na,na,26,13,5,5,5,0,5
4018,2,20,6,4,3,2,2,0,na,na,na,na,na,na,34,9,25,20,25,20,20
4018,3,20,8,7,3,2,2,5,6,0,5,5,5,5,29,10,15,20,10,10,15
4018,4,20,8,6,3,2,2,0,na,na,na,na,na,na,20,16,5,5,5,15,15
4018,5,20,6,7,3,2,2,2,6,5,5,na,na,na,18,9,10,10,5,5,15
4019,1,9,6,6,3,2,1,1,7,0,na,na,na,na,33,7,65,50,40,45,50
4019,2,9,7,12,2,1,7,0,na,na,na,na,na,na,34,7,0,0,0,5,5
4019,3,9,9,8,3,3,3,2,7,0,0,na,na,na,38,10,5,5,5,10,0
4019,4,9,9,6,3,3,3,1,6,0,na,na,na,na,19,7,0,5,5,10,10
4019,5,9,11,6,2,2,1,3,6,20,20,15,na,na,16,9,25,20,10,10,15
4020,1,4,11,7,1,1,1,0,na,na,na,na,na,na,17,5,0,0,0,10,15
4020,2,4,9,8,2,2,3,1,7,0,na,na,na,na,13,11,5,10,20,25,15
4020,3,4,9,6,1,2,1,4,5,30,35,0,0,30,14,7,10,5,10,10,5
4020,4,4,8,5,3,2,2,0,na,na,na,na,na,na,25,17,35,35,20,20,45
4020,5,4,7,6,1,3,3,0,na,na,na,na,na,na,20,14,0,5,5,5,5
4021,1,13,4,4,1,2,1,1,5,0,na,na,na,na,12,7,0,5,5,40,20
4021,2,13,9,5,2,3,1,1,6,0,na,na,na,na,10,6,0,0,0,5,5
4021,3,13,6,6,1,3,1,0,na,na,na,na,na,na,17,6,30,30,25,0,5
4021,4,13,7,8,1,2,1,1,5,5,na,na,na,na,9,8,20,20,10,5,10
4021,5,13,8,5,1,2,1,3,5,0,0,5,na,na,8,6,5,0,5,25,40
4022,1,15,11,12,4,3,2,3,10,0,0,0,na,na,14,11,30,30,20,20,10
4022,2,15,12,13,3,3,2,2,7,5,0,na,na,na,5,15,50,40,50,30,40
4022,3,15,7,6,2,3,3,0,na,na,na,na,na,na,14,9,0,0,0,5,5
4022,4,15,11,13,2,2,2,3,9,0,0,0,na,na,16,7,40,50,30,35,40
4022,5,15,6,7,2,3,1,10,0,na,na,na,na,na,10,10,5,5,5,10,5
4023,1,18,7,9,1,1,1,1,3,5,na,na,na,na,10,7,0,25,25,45,20
4023,2,18,9,11,2,2,2,2,9,30,35,na,na,na,12,11,0,10,10,5,20
4023,3,18,6,7,2,2,4,0,na,na,na,na,na,na,20,11,20,25,15,30,20
4023,4,18,6,9,2,2,1,1,7,0,na,na,na,na,26,10,40,50,10,10,10
4023,5,18,4,3,1,2,1,0,na,na,na,na,na,na,8,9,20,10,60,50,40
4024,1,10,6,4,4,3,2,0,na,na,na,na,na,na,17,8,25,30,35,40,45
4024,2,10,12,11,4,3,3,1,11,0,na,na,na,na,15,9,25,35,30,40,20
4024,3,10,6,4,4,2,2,0,na,na,na,na,na,na,26,11,25,20,35,30,35
4024,4,10,6,4,4,2,2,1,8,0,na,na,na,na,17,12,25,30,35,30,35
4024,5,10,7,4,4,2,1,1,13,0,na,na,na,na,22,9,20,20,10,5,25
101,1,na,6,5,3,3,3,1,5,0,na,na,na,na,16,26,0,10,30,30,0
101,2,na,10,5,1,3,1,4,12,5,0,0,0,na,15,14,30,20,30,20,20
101,3,na,6,3,2,3,3,1,2,20,na,na,na,na,14,28,0,40,30,0,30
101,4,na,6,4,1,3,2,1,2,10,na,na,na,na,15,15,0,20,30,20,20
101,5,na,7,5,1,na,0,0,na,na,na,na,na,na,14,15,50,0,0,10,10
102,1,na,9,5,2,3,3,0,na,na,na,na,na,na,14,25,0,10,30,30,0
102,2,na,8,4,1,2,1,0,na,na,na,na,na,na,23,18,20,0,0,20,20
102,3,na,10,6,1,3,1,4,15,0,20,30,60,na,19,13,10,10,0,20,30
102,4,na,8,4,2,3,2,0,na,na,na,na,na,na,17,24,30,0,10,30,20
102,5,na,10,7,2,3,2,0,na,na,na,na,na,na,26,18,30,30,10,0,10
103,1,na,10,5,2,3,2,0,na,na,na,na,na,na,18,19,20,0,10,20,40
103,2,na,9,5,2,3,3,0,na,na,na,na,na,na,26,25,0,0,0,0,40
103,3,na,6,4,2,3,3,0,na,na,na,na,na,na,16,24,0,0,0,70,40
103,4,na,6,6,2,3,3,0,na,na,na,na,na,na,18,20,0,0,50,0,30
103,5,na,5,4,2,3,2,0,na,na,na,na,na,na,13,26,10,0,5,0,0
104,1,na,10,5,3,3,2,0,na,na,na,na,na,na,22,22,0,0,0,80,30
104,2,na,9,5,2,3,1,0,na,na,na,na,na,na,19,21,10,0,20,10,30
104,3,na,10,5,2,3,2,9,13,0,0,0,20,0,7,16,0,10,10,20,0
104,4,na,8,4,3,3,2,0,na,na,na,na,na,na,23,26,30,20,0,60,20
104,5,na,7,5,2,2,1,0,na,na,na,na,na,na,21,27,40,15,0,0,0
217,1,na,12,6,1,1,2,0,na,na,na,na,na,na,24,8,5,5,10,15,35
217,2,na,8,4,1,1,1,0,na,na,na,na,na,na,12,5,5,5,5,5,5
217,3,na,8,5,2,2,1,0,na,na,na,na,na,na,18,7,25,25,20,20,10
217,4,na,11,6,1,1,1,0,na,na,na,na,na,na,20,16,0,0,5,5,10
217,5,na,11,6,1,1,1,0,na,na,na,na,na,na,19,15,5,5,5,5,20
218,1,na,11,7,1,1,1,3,8,5,5,5,na,na,12,14,15,15,20,25,10
218,2,na,7,6,1,1,1,2,11,15,15,na,na,na,16,14,30,35,45,40,45
218,3,na,6,4,1,1,1,1,6,35,na,na,na,na,19,14,30,30,20,20,10
218,4,na,6,4,1,1,1,0,na,na,na,na,na,na,9,3,0,0,5,5,10
218,5,na,9,4,1,1,1,0,na,na,na,na,na,na,8,9,5,5,10,10,5
219,1,na,12,6,3,2,2,0,na,na,na,na,na,na,16,16,5,10,10,15,15
219,2,na,17,11,4,3,3,3,8,15,15,10,na,na,22,9,55,40,55,30,30
219,3,na,12,6,2,2,1,6,5,na,na,na,na,na,11,13,5,5,10,10,10
219,4,na,11,6,2,1,1,0,na,na,na,na,na,na,20,8,10,10,15,15,10
219,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
220,1,na,8,6,2,3,1,1,23,0,na,na,na,na,14,15,0,30,20,0,50
220,2,na,7,5,1,2,2,0,na,na,na,na,na,na,14,21,20,0,0,0,5
220,3,na,5,4,3,3,3,0,na,na,na,na,na,na,18,23,20,0,0,0,10
220,4,na,7,5,2,2,1,0,na,na,na,na,na,na,16,16,5,0,20,10,0
220,5,na,7,5,2,3,2,0,na,na,na,na,na,na,19,22,0,0,0,10,10
301,1,na,16,11,4,2,2,1,7,0,na,na,na,na,23,5,5,5,25,20,15
301,2,na,7,4,4,3,3,1,11,0,na,na,na,na,19,7,0,25,20,20,25
301,3,na,12,8,4,3,4,1,5,0,na,na,na,na,23,9,0,0,25,25,20
301,4,na,8,4,5,3,2,0,na,na,na,na,na,na,8,5,0,5,30,30,20
301,5,na,6,4,2,2,1,0,na,na,na,na,na,na,14,8,0,0,0,20,25
302,1,na,8,5,2,3,1,0,na,na,na,na,na,na,18,28,20,20,25,0,30
302,2,na,9,5,3,4,3,0,na,na,na,na,na,na,28,22,10,10,0,20,0
302,3,na,9,5,1,3,1,3,21,20,10,0,na,na,13,15,5,10,10,0,0
302,4,na,11,8,2,3,1,10,20,0,40,30,50,20,17,16,0,0,0,10,10
302,5,na,11,5,2,3,2,5,26,0,20,10,0,20,21,17,0,0,0,50,10
303,1,na,11,5,2,2,1,0,na,na,na,na,na,na,18,9,5,5,5,10,25
303,2,na,7,4,2,2,1,0,na,na,na,na,na,na,21,9,10,10,5,5,15
303,3,na,3,11,6,2,1,0,na,na,na,na,na,na,19,11,5,5,5,10,10
303,4,na,11,4,2,1,1,3,6,5,5,5,na,na,17,6,25,10,10,15,10
303,5,na,9,6,1,1,1,10,5,5,5,5,10,10,8,7,10,20,30,20,10
304,1,na,12,8,4,3,3,7,8,5,5,10,10,0,16,7,35,35,40,40,45
304,2,na,9,4,4,2,2,8,8,30,35,40,45,20,8,10,40,45,50,40,30
304,3,na,14,9,4,3,2,1,7,15,na,na,na,na,17,11,30,35,25,15,55
304,4,na,7,4,3,3,2,1,7,0,na,na,na,na,15,8,25,35,30,60,15
304,5,na,6,5,2,2,2,4,7,10,10,15,10,na,19,11,35,30,25,20,30
417,1,na,13,7,2,3,2,0,na,na,na,na,na,na,20,7,0,0,5,5,5
417,2,na,6,4,1,1,1,0,na,na,na,na,na,na,17,13,0,0,20,20,10
417,3,na,5,3,2,2,2,1,7,5,na,na,na,na,23,7,25,20,20,5,5
417,4,na,9,8,3,2,1,3,7,15,15,15,na,na,18,14,20,25,20,20,20
417,5,na,7,4,1,2,2,0,na,na,na,na,na,na,17,8,30,25,40,40,15
418,1,na,12,7,4,2,2,1,13,10,na,na,na,na,17,8,10,10,35,30,30
418,2,na,13,5,5,3,4,1,6,0,na,na,na,na,37,8,35,25,10,20,35
418,3,na,9,5,2,1,1,0,14,na,na,na,na,na,8,7,0,10,10,30,25
418,4,na,9,5,2,1,1,1,6,0,na,na,na,na,16,8,35,40,50,40,45
418,5,na,9,6,4,3,3,1,7,0,na,na,na,na,25,15,20,20,30,15,20
419,1,na,18,12,1,1,1,1,4,0,na,na,na,na,18,9,0,0,0,0,5
419,2,na,9,6,5,2,1,0,na,na,na,na,na,na,8,7,5,5,5,5,5
419,3,na,13,9,1,2,1,1,13,10,na,na,na,na,7,5,40,55,30,30,55
419,4,na,11,6,1,1,1,0,na,na,na,na,na,na,15,5,25,20,35,30,30
419,5,na,7,5,1,1,1,0,na,na,na,na,na,na,14,5,20,35,30,30,30
420,1,na,6,4,3,1,1,0,na,na,na,na,na,na,17,8,10,20,25,20,20
420,2,na,12,8,3,2,2,3,6,15,15,20,na,na,25,18,5,40,55,20,25
420,3,na,12,9,1,1,1,0,na,na,na,na,na,na,29,17,5,5,5,5,10
420,4,na,6,6,2,1,1,1,3,10,na,na,na,na,22,16,50,55,25,50,20
420,5,na,6,4,1,1,1,1,16,0,na,na,na,na,17,14,20,25,25,30,35
1001,1,11,10,8,2,3,2,10,9,0,0,20,20,25,12,5,10,10,15,20,30
1001,2,11,5,5,2,2,2,0,0,na,na,na,na,na,21,6,5,10,20,30,40
1001,3,11,8,10,2,3,2,5,0,5,5,10,na,na,15,5,5,5,30,35,40
1001,4,11,6,5,1,3,1,3,6,10,10,na,na,na,12,5,20,25,30,25,30
1001,5,11,8,7,2,2,2,8,0,0,0,5,10,20,10,6,10,10,15,40,30
1002,1,1,8,9,1,2,1,0,0,na,na,na,na,na,16,8,0,0,10,20,25
1002,2,1,8,8,2,3,2,1,5,0,0,na,na,na,17,7,0,0,5,10,20
1002,3,1,6,8,1,2,1,0,0,na,na,na,na,na,19,7,10,15,20,40,45
1002,4,1,9,7,2,1,4,5,5,0,0,5,5,15,16,6,15,20,25,15,20
1002,5,1,10,9,3,3,2,3,6,5,5,na,na,na,23,9,0,5,5,10,15
1003,1,17,10,9,2,na,0,0,0,na,na,na,na,na,18,7,0,5,5,10,10
1003,2,17,5,3,1,1,1,0,0,na,na,na,na,na,17,6,0,0,20,25,20
1003,3,17,10,8,3,3,2,0,0,na,na,na,na,na,20,6,0,0,5,10,20
1003,4,17,10,9,2,2,1,2,4,5,10,na,na,na,20,4,10,10,5,25,30
1003,5,17,5,3,1,2,1,0,0,na,na,na,na,na,13,7,0,10,10,15,30
1004,1,13,13,9,1,na,0,0,0,na,na,na,na,na,18,6,5,5,10,10,15
1004,2,13,11,5,1,na,0,0,0,na,na,na,na,na,18,10,10,15,20,25,20
1004,3,13,8,6,1,2,1,0,0,na,na,na,na,na,19,10,25,30,40,20,25
1004,4,13,12,8,2,na,0,0,0,na,na,na,na,na,14,5,20,25,30,35,40
1004,5,13,6,4,1,na,0,0,0,na,na,na,na,na,10,7,0,10,20,25,30
1005,1,21,13,10,1,4,1,0,0,na,na,na,na,na,16,6,15,15,20,40,35
1005,2,21,10,6,2,3,2,1,6,5,na,na,na,na,19,9,20,25,30,35,40
1005,3,21,15,10,1,1,1,1,6,0,na,na,na,na,22,6,20,25,30,35,10
1005,4,21,11,9,1,1,1,0,0,na,na,na,na,na,12,7,10,15,20,25,30
1005,5,21,10,8,1,3,1,2,6,10,10,na,na,na,9,4,20,25,30,35,40
1006,1,15,10,8,1,2,1,0,0,na,na,na,na,na,11,7,5,10,10,15,20
1006,2,15,10,9,2,3,1,6,7,0,5,10,10,15,17,8,5,5,10,15,20
1006,3,15,9,6,2,1,1,0,0,na,na,na,na,na,23,9,0,5,10,15,30
1006,4,15,10,9,3,3,3,5,6,0,0,5,5,10,20,10,30,35,40,45,50
